,sentence_id,sentence,video,start_frame,end_frame,Video_path,CaptionNums,exists
0,s13-d21_1_1,He took out cutting board,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
1,s13-d21_1_2,He took out knife,s13-d21,471,627,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
2,s13-d21_1_3,He took out cucumber,s13-d21,627,975,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
3,s13-d21_1_4,He took out plate,s13-d21,1004,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
4,s13-d21_1_5,He washed cucumber,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
5,s13-d21_1_6,Cut off ends of cucumbers,s13-d21,1665,2036,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
6,s13-d21_1_7,He sliced cucumbers,s13-d21,2099,2523,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
7,s13-d21_1_8,He put cucumbers on plate,s13-d21,2618,2844,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
8,s13-d21_2_1,person takes chopping board out,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
9,s13-d21_2_2,person removes knife from draw,s13-d21,471,627,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
10,s13-d21_2_3,person removes cucumber out of refrigerator,s13-d21,627,975,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
11,s13-d21_2_4,person removes plate out of cabinet,s13-d21,1004,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
12,s13-d21_2_5,person then washes cucumber,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
13,s13-d21_2_6,person then places cucumber on plate,s13-d21,1665,1813,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
14,s13-d21_2_7,perosn then cuts ends off cucumber,s13-d21,1854,2036,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
15,s13-d21_2_8,person then cuts cucumber in slices,s13-d21,2099,2523,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
16,s13-d21_2_9,person then places cucumber on plate.,s13-d21,2618,2717,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
17,s13-d21_4_1,The person gets out a cutting board.,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
18,s13-d21_4_2,The person gets out a knife.,s13-d21,471,627,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
19,s13-d21_4_3,The person gets out a cucumber.,s13-d21,627,975,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
20,s13-d21_4_4,The person gets out a plate.,s13-d21,1004,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
21,s13-d21_4_5,The person rinses the cucumber.,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
22,s13-d21_4_6,The person cuts the tips off the cucumber.,s13-d21,1665,2036,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
23,s13-d21_4_7,The person slices the cucumber and puts the slices on the plate.,s13-d21,2798,2844,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
24,s13-d21_5_1,The person gets out a cutting board.,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
25,s13-d21_5_2,The person gets out a knife.,s13-d21,471,686,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
26,s13-d21_5_3,The person gets out a cucumber.,s13-d21,723,975,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
27,s13-d21_5_4,The person gets out a plate.,s13-d21,1004,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
28,s13-d21_5_5,The person rinses the cucumber.,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
29,s13-d21_5_6,The person cuts off the tips  of the cucumber.,s13-d21,1665,2036,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
30,s13-d21_5_7,The person cuts up the cucumber.,s13-d21,2099,2523,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
31,s13-d21_5_8,The person puts the cucumber slices on the plate.,s13-d21,2618,2717,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
32,s13-d21_6_1,The person takes out a cutting board from the drawer.,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
33,s13-d21_6_2,The person takes out a knife from the drawer.,s13-d21,471,686,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
34,s13-d21_6_3,The person procures a cucumber from the fridge.,s13-d21,723,975,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
35,s13-d21_6_4,The person procures a plate from the cabinet.,s13-d21,1004,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
36,s13-d21_6_5,The person washes the cucumber in the sink.,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
37,s13-d21_6_6,The person cuts the ends off the cucumber then cuts the body into slices.,s13-d21,1665,2523,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
38,s13-d21_6_7,The person sets cucumber slices on the plate.,s13-d21,2618,2717,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
39,s13-d21_8_1,The person takes out a cutting board from the drawer.,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
40,s13-d21_8_2,The person takes out a knife from the drawer.,s13-d21,471,627,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
41,s13-d21_8_3,The person procures a cucumber from the fridge then takes a plate from the cabinet.,s13-d21,627,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
42,s13-d21_8_4,The person washes the cucumber in the sink.,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
43,s13-d21_8_5,The person cuts the ends from the cucumber.,s13-d21,1665,2036,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
44,s13-d21_8_6,The person chops the cucumber into slices on the cutting board.,s13-d21,2099,2523,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
45,s13-d21_8_7,The person sets the cucumber slices on the plate.,s13-d21,2618,2717,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
46,s13-d21_9_1,The person takes out a cutting board from the drawer.,s13-d21,252,452,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
47,s13-d21_9_2,The person takes out a knife from the drawer.,s13-d21,471,627,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
48,s13-d21_9_3,The person procures a cucumber from the fridge.,s13-d21,627,975,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
49,s13-d21_9_4,The person procures a plate from the cabinet.,s13-d21,1004,1353,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
50,s13-d21_9_5,The person washes the cucumber in the sink.,s13-d21,1366,1594,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
51,s13-d21_9_6,The person cuts the ends off the cucumber.,s13-d21,1665,2036,/gpfs/ambientspeech/users/dbarreda/computer_vision_evaluation/tacos/videos/s13-d21.avi,112,FALSE
